qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen
GMR-ablp-F1	3R	100.000	17	0	0	10	26	15853971	15853987	0.092	34.2	27
GMR-ablp-F1	3R	100.000	15	0	0	4	18	11768543	11768557	1.4	30.2	27
GMR-ablp-F1	3R	100.000	15	0	0	11	25	14411105	14411119	1.4	30.2	27
GMR-ablp-F1	3R	100.000	14	0	0	8	21	8260590	8260577	5.6	28.2	27
GMR-ablp-F1	3R	100.000	14	0	0	6	19	32427740	32427727	5.6	28.2	27
GMR-ablp-F1	3R	100.000	14	0	0	10	23	13316500	13316513	5.6	28.2	27
GMR-ablp-F1	3R	100.000	14	0	0	1	14	26397671	26397684	5.6	28.2	27
GMR-ablp-F1	3R	100.000	13	0	0	1	13	4782660	4782648	22	26.3	27
GMR-ablp-F1	3R	100.000	13	0	0	3	15	5605659	5605647	22	26.3	27
GMR-ablp-F1	3R	100.000	13	0	0	6	18	7921287	7921275	22	26.3	27
GMR-ablp-F1	3R	100.000	13	0	0	15	27	11700214	11700202	22	26.3	27
GMR-ablp-F1	3R	100.000	13	0	0	12	24	11850106	11850094	22	26.3	27
GMR-ablp-F1	3R	100.000	13	0	0	8	20	14661273	14661261	22	26.3	27
GMR-ablp-F1	3R	100.000	13	0	0	8	20	16264274	16264262	22	26.3	27
GMR-ablp-F1	3R	100.000	13	0	0	4	16	26714923	26714911	22	26.3	27
GMR-ablp-F1	3R	100.000	13	0	0	7	19	29570865	29570853	22	26.3	27
GMR-ablp-F1	3R	100.000	13	0	0	14	26	30970461	30970449	22	26.3	27
GMR-ablp-F1	3R	100.000	13	0	0	10	22	32539173	32539161	22	26.3	27
GMR-ablp-F1	3R	100.000	13	0	0	6	18	34447484	34447472	22	26.3	27
GMR-ablp-F1	3R	100.000	13	0	0	4	16	35840401	35840389	22	26.3	27
GMR-ablp-F1	3R	100.000	13	0	0	3	15	4266975	4266987	22	26.3	27
GMR-ablp-F1	3R	100.000	13	0	0	3	15	6187614	6187626	22	26.3	27
GMR-ablp-F1	3R	100.000	13	0	0	1	13	9394987	9394999	22	26.3	27
GMR-ablp-F1	3R	94.118	17	1	0	1	17	9668522	9668538	22	26.3	27
GMR-ablp-F1	3R	100.000	13	0	0	6	18	14085884	14085896	22	26.3	27
GMR-ablp-F1	3R	100.000	13	0	0	12	24	16288955	16288967	22	26.3	27
GMR-ablp-F1	3R	100.000	13	0	0	6	18	16424852	16424864	22	26.3	27
GMR-ablp-F1	3R	100.000	13	0	0	5	17	26574840	26574852	22	26.3	27
GMR-ablp-F1	3R	100.000	13	0	0	6	18	27171093	27171105	22	26.3	27
